Service,Beds,Admissions,Outpatient Visits,Births,Personnel,Total Expenditure
1,210,7713,86982,312,792,56831
1,347,16065,149222,1077,1762,127223
1,511,23028,222565,1027,2310,157093
1,142,4338,36710,355,328,24462
1,40,905,13350,168,181,13730
1,220,15563,88721,3810,1077,93257
1,137,5347,188885,735,742,45458
1,80,636,10209,1,131,6151
1,440,15954,77343,1733,1594,98992
1,48,1827,33977,257,233,11569
1,56,1617,17925,169,241,11356
1,46,2954,27170,430,203,15200
1,109,2805,30263,0,325,20848
1,306,9871,43128,2049,676,62778
1,7,756,96000,211,347,20300
1,16,342,7217,16,79,3836
1,167,8426,66073,2648,505,41417
1,444,18258,170223,2450,1543,144966
1,236,8280,31022,1465,755,67997
1,247,5449,44425,0,959,123175
1,93,5247,29551,1993,325,28318
1,236,11301,90178,2275,954,88080
1,220,9466,172146,1494,1091,107313
1,228,10444,95649,1313,671,116486
1,83,2648,15507,451,300,20625
1,273,9249,51102,1689,753,67519
1,225,7763,91654,1583,607,60080
1,236,10688,68482,2017,929,94401
1,80,6671,35221,995,354,26094
1,78,7761,37370,2045,408,38825
1,197,9553,153994,1686,1251,105672
1,60,2730,16060,503,386,29444
1,31,1112,36735,126,144,8496
1,264,13395,267091,2026,2047,153844
1,246,12264,140152,1412,1343,128312
1,556,12811,68330,1517,1723,122809
1,120,5502,36461,0,529,50823
1,674,26547,294682,2719,3694,367706
1,414,12260,81885,1074,1042,85696
1,320,4147,47636,1421,1071,29699
1,315,12804,92458,762,1525,108848
1,344,16539,185313,3194,1983,141031
1,168,7566,66309,496,670,56207
1,315,15853,93373,1442,1653,131297
1,245,8733,78773,1107,793,63442
1,311,15196,115155,2989,841,109394
1,233,1466,18659,113,316,9840
1,46,812,11519,0,93,4417
1,103,2312,30661,0,373,31628
1,331,2305,35600,173,263,20848
1,186,10541,76176,1064,943,56185
1,177,4469,57104,759,605,43406
1,149,5994,111901,1317,596,40014
1,286,11142,173393,1751,1165,75810
1,242,5682,37461,0,507,57236
1,128,5511,37898,714,479,30063
1,33,925,24679,99,136,7947
1,255,13780,146454,2243,1456,143118
1,481,28390,796525,3966,3486,270244
1,191,9899,85986,1308,885,83223
1,155,9893,192386,2514,1001,105523
1,626,31452,236900,3714,3301,323725
1,105,1456,47152,126,337,15701
1,59,4706,292105,556,1193,33014
1,258,9950,121004,1327,1161,88222
1,47,1940,45057,415,322,22274
1,22,1241,31833,216,185,10900
1,53,1475,43357,339,205,14830
